station_number,Year,region,fishing_method,Lat,Lon,trawl_ave_net_depth_m,trawl_distance_towed_m,common_name,SumOfcount,genus_name,species_name
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Arrowtooth flounder,2,Atheresthes,stomias
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Big skate,1,Beringraja,binoculata
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Eulachon,3,Thaleichthys,pacificus
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Flathead sole,21,Hippoglossoides,elassodon
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Great sculpin,1,Myoxocephalus,polyacanthocephalus
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Rex sole,1,Glyptocephalus,zachirus
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Roughspine sculpin,1,Triglops,macellus
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Slim sculpin,4,Radulinus,asprellus
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Spineyhead sculpin,1,Dasycottus,setiger
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Sturgeon poacher,1,Podothecus,accipenserinus
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Thorny sculpin,5,Icelus,spiniger
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Walleye pollock,8,Gadus,chalcogrammus
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Wattled eelpout,4,Lycodes,palearis
202117601,2021,Prince William Sound,modified herring trawl,60.19216,-148.18385,,,Whitebarred prickleback,5,Poroclinus,rothrocki
2021105001,2021,Cook Inlet,modified herring trawl,60.02233,-152.54083,14.82,1.025313467,Pacific sand lance,200,Ammodytes,personatus
2021105001,2021,Cook Inlet,modified herring trawl,60.02233,-152.54083,14.82,1.025313467,Pink salmon (humpback),7,Oncorhynchus,gorbuscha
2021105001,2021,Cook Inlet,modified herring trawl,60.02233,-152.54083,14.82,1.025313467,Snake prickleback,1,Lumpenus,sagitta
2021122001,2021,Cook Inlet,modified herring trawl,60.16977,-152.30313,35.21,3.782351659,Capelin,2,Mallotus,catervarius
2021122001,2021,Cook Inlet,modified herring trawl,60.16977,-152.30313,35.21,3.782351659,Crangon shrimp,9,,
2021122001,2021,Cook Inlet,modified herring trawl,60.16977,-152.30313,35.21,3.782351659,Euphausiid UNID,,Euphausiacea (order),
2021122001,2021,Cook Inlet,modified herring trawl,60.16977,-152.30313,35.21,3.782351659,Longfin smelt,103,Spirinchus,thaleichthys
2021122001,2021,Cook Inlet,modified herring trawl,60.16977,-152.30313,35.21,3.782351659,Mysid,,,
2021122001,2021,Cook Inlet,modified herring trawl,60.16977,-152.30313,35.21,3.782351659,Pacific sandfish,9,Trichodon,trichodon
2021122001,2021,Cook Inlet,modified herring trawl,60.16977,-152.30313,35.21,3.782351659,Pink shrimp,61,,
2021122001,2021,Cook Inlet,modified herring trawl,60.16977,-152.30313,35.21,3.782351659,Walleye pollock,5,Gadus,chalcogrammus
2021123001,2021,Cook Inlet,modified herring trawl,60.07589,-152.05537,41.24,1.48371356,Pacific cod,1,Gadus,macrocephalus
2021123001,2021,Cook Inlet,modified herring trawl,60.07589,-152.05537,41.24,1.48371356,Pacific sand lance,19,Ammodytes,personatus
2021123001,2021,Cook Inlet,modified herring trawl,60.07589,-152.05537,41.24,1.48371356,Pacific tomcod,3,Microgadus,proximus
2021123001,2021,Cook Inlet,modified herring trawl,60.07589,-152.05537,41.24,1.48371356,Walleye pollock,72,Gadus,chalcogrammus
2021124001,2021,Cook Inlet,modified herring trawl,60.01097,-152.25006,10.95,1.557963733,Pacific sand lance,1,Ammodytes,personatus
