Sample_ID,sample,pcr_rep,Sample_Plate,taxon,total_taxon_ct,Sample Code,Sample Label,field_rep,Sample_Date,Metadata Reference
e00191_1,e00191,1,YUMI_eDNA_Plate1,Gadidae,5,202117601,Prince William Sound,A,2021-07-04T00:00:00Z,Yumi_USGS
e00191_1,e00191,1,YUMI_eDNA_Plate1,Ammodytidae,1,202117601,Prince William Sound,A,2021-07-04T00:00:00Z,Yumi_USGS
e00191_1,e00191,1,YUMI_eDNA_Plate1,Homo_sapiens,3,202117601,Prince William Sound,A,2021-07-04T00:00:00Z,Yumi_USGS
e00191_1,e00191,1,YUMI_eDNA_Plate1,Triglops_macellus,592,202117601,Prince William Sound,A,2021-07-04T00:00:00Z,Yumi_USGS
e00192_1,e00192,1,YUMI_eDNA_Plate1,Clupeidae,5,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS
e00192_1,e00192,1,YUMI_eDNA_Plate1,Gadidae,19,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS
e00192_1,e00192,1,YUMI_eDNA_Plate1,Oncorhynchus,13,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS
e00192_1,e00192,1,YUMI_eDNA_Plate1,Ammodytidae,6,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS
e00192_1,e00192,1,YUMI_eDNA_Plate1,Pleuronectidae,2,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS
e00192_1,e00192,1,YUMI_eDNA_Plate1,Homo_sapiens,6,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS
e00192_1,e00192,1,YUMI_eDNA_Plate1,Leuroglossus_schmidti,1,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS
e00193_1,e00193,1,YUMI_eDNA_Plate1,Gadidae,4863,202117601,Prince William Sound,C,2021-07-04T00:00:00Z,Yumi_USGS
e00193_1,e00193,1,YUMI_eDNA_Plate1,Oncorhynchus,2151,202117601,Prince William Sound,C,2021-07-04T00:00:00Z,Yumi_USGS
e00193_1,e00193,1,YUMI_eDNA_Plate1,Pleuronectidae,1,202117601,Prince William Sound,C,2021-07-04T00:00:00Z,Yumi_USGS
e00193_1,e00193,1,YUMI_eDNA_Plate1,Homo_sapiens,131,202117601,Prince William Sound,C,2021-07-04T00:00:00Z,Yumi_USGS
e00193_1,e00193,1,YUMI_eDNA_Plate1,Sus,52,202117601,Prince William Sound,C,2021-07-04T00:00:00Z,Yumi_USGS
e00193_1,e00193,1,YUMI_eDNA_Plate1,Sus_scrofa,33,202117601,Prince William Sound,C,2021-07-04T00:00:00Z,Yumi_USGS
e00194_1,e00194,1,YUMI_eDNA_Plate1,Clupeidae,7953,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS
e00194_1,e00194,1,YUMI_eDNA_Plate1,Gadidae,20,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS
e00194_1,e00194,1,YUMI_eDNA_Plate1,Oncorhynchus,1,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS
e00195_1,e00195,1,YUMI_eDNA_Plate1,Clupeidae,4824,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS
e00195_1,e00195,1,YUMI_eDNA_Plate1,Gadidae,4,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS
e00195_1,e00195,1,YUMI_eDNA_Plate1,Oncorhynchus,2376,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS
e00195_1,e00195,1,YUMI_eDNA_Plate1,Ammodytidae,1,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS
e00195_1,e00195,1,YUMI_eDNA_Plate1,Micropterus,1,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS
e00195_1,e00195,1,YUMI_eDNA_Plate1,Bos,1,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS
e00196_1,e00196,1,YUMI_eDNA_Plate1,Clupeidae,7540,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS
e00196_1,e00196,1,YUMI_eDNA_Plate1,Gadidae,4,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS
e00196_1,e00196,1,YUMI_eDNA_Plate1,Oncorhynchus,12,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS
e00196_1,e00196,1,YUMI_eDNA_Plate1,Ammodytidae,2,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS
e00197_1,e00197,1,YUMI_eDNA_Plate1,Clupeidae,4,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS
e00197_1,e00197,1,YUMI_eDNA_Plate1,Oncorhynchus,5624,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS
e00197_1,e00197,1,YUMI_eDNA_Plate1,Sebastidae,7,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS
e00197_1,e00197,1,YUMI_eDNA_Plate1,Pleuronectidae,1,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS
e00197_1,e00197,1,YUMI_eDNA_Plate1,Gadidae,3,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS
e00197_1,e00197,1,YUMI_eDNA_Plate1,Homo_sapiens,42,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS
e00197_1,e00197,1,YUMI_eDNA_Plate1,Lycodes,6,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS
e00198_1,e00198,1,YUMI_eDNA_Plate1,Clupeidae,5,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS
e00198_1,e00198,1,YUMI_eDNA_Plate1,Oncorhynchus,6,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS
e00198_1,e00198,1,YUMI_eDNA_Plate1,Sebastidae,5475,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS
e00198_1,e00198,1,YUMI_eDNA_Plate1,Pleuronectidae,2806,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS
e00198_1,e00198,1,YUMI_eDNA_Plate1,Lycodes,4969,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS
e00199_1,e00199,1,YUMI_eDNA_Plate1,Oncorhynchus,6,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS
e00199_1,e00199,1,YUMI_eDNA_Plate1,Ammodytidae,3,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS
e00199_1,e00199,1,YUMI_eDNA_Plate1,Homo_sapiens,72,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS
e00199_1,e00199,1,YUMI_eDNA_Plate1,Leuroglossus_schmidti,1,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS
e00199_1,e00199,1,YUMI_eDNA_Plate1,Stenobrachius,3722,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS
e00199_1,e00199,1,YUMI_eDNA_Plate1,Triglops_macellus,2,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS
e00200_1,e00200,1,YUMI_eDNA_Plate1,Gadidae,4,202122011,Prince William Sound,A,2021-09-18T00:00:00Z,Yumi_USGS
e00200_1,e00200,1,YUMI_eDNA_Plate1,Oncorhynchus,9930,202122011,Prince William Sound,A,2021-09-18T00:00:00Z,Yumi_USGS
e00200_1,e00200,1,YUMI_eDNA_Plate1,Pleuronectidae,1,202122011,Prince William Sound,A,2021-09-18T00:00:00Z,Yumi_USGS
