Sample_ID,sample,pcr_rep,Sample_Plate,taxon,Sample Code,Sample Label,field_rep,Sample_Date,Metadata Reference,depth,meters,reads
e00191_1,e00191,1,YUMI_eDNA_Plate1,Gadidae,202117601,Prince William Sound,A,2021-07-04T00:00:00Z,Yumi_USGS,40,m,0
e00191_1,e00191,1,YUMI_eDNA_Plate1,Ammodytidae,202117601,Prince William Sound,A,2021-07-04T00:00:00Z,Yumi_USGS,40,m,0
e00191_1,e00191,1,YUMI_eDNA_Plate1,Triglops_macellus,202117601,Prince William Sound,A,2021-07-04T00:00:00Z,Yumi_USGS,40,m,592
e00192_1,e00192,1,YUMI_eDNA_Plate1,Clupeidae,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS,40,m,0
e00192_1,e00192,1,YUMI_eDNA_Plate1,Gadidae,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS,40,m,0
e00192_1,e00192,1,YUMI_eDNA_Plate1,Oncorhynchus,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS,40,m,3
e00192_1,e00192,1,YUMI_eDNA_Plate1,Ammodytidae,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS,40,m,0
e00192_1,e00192,1,YUMI_eDNA_Plate1,Pleuronectidae,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS,40,m,0
e00192_1,e00192,1,YUMI_eDNA_Plate1,Leuroglossus_schmidti,202117601,Prince William Sound,B,2021-07-04T00:00:00Z,Yumi_USGS,40,m,1
e00193_1,e00193,1,YUMI_eDNA_Plate1,Gadidae,202117601,Prince William Sound,C,2021-07-04T00:00:00Z,Yumi_USGS,40,m,4760
e00193_1,e00193,1,YUMI_eDNA_Plate1,Oncorhynchus,202117601,Prince William Sound,C,2021-07-04T00:00:00Z,Yumi_USGS,40,m,2141
e00193_1,e00193,1,YUMI_eDNA_Plate1,Pleuronectidae,202117601,Prince William Sound,C,2021-07-04T00:00:00Z,Yumi_USGS,40,m,0
e00194_1,e00194,1,YUMI_eDNA_Plate1,Clupeidae,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS,10,m,7941
e00194_1,e00194,1,YUMI_eDNA_Plate1,Gadidae,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS,10,m,0
e00194_1,e00194,1,YUMI_eDNA_Plate1,Oncorhynchus,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS,10,m,0
e00195_1,e00195,1,YUMI_eDNA_Plate1,Clupeidae,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS,10,m,4812
e00195_1,e00195,1,YUMI_eDNA_Plate1,Gadidae,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS,10,m,0
e00195_1,e00195,1,YUMI_eDNA_Plate1,Oncorhynchus,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS,10,m,2366
e00195_1,e00195,1,YUMI_eDNA_Plate1,Ammodytidae,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS,10,m,0
e00196_1,e00196,1,YUMI_eDNA_Plate1,Clupeidae,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS,10,m,7528
e00196_1,e00196,1,YUMI_eDNA_Plate1,Gadidae,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS,10,m,0
e00196_1,e00196,1,YUMI_eDNA_Plate1,Oncorhynchus,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS,10,m,2
e00196_1,e00196,1,YUMI_eDNA_Plate1,Ammodytidae,202121011,Prince William Sound,C,2021-09-19T00:00:00Z,Yumi_USGS,10,m,0
e00197_1,e00197,1,YUMI_eDNA_Plate1,Clupeidae,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS,120,m,0
e00197_1,e00197,1,YUMI_eDNA_Plate1,Oncorhynchus,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS,120,m,5614
e00197_1,e00197,1,YUMI_eDNA_Plate1,Sebastidae,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS,120,m,2
e00197_1,e00197,1,YUMI_eDNA_Plate1,Pleuronectidae,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS,120,m,0
e00197_1,e00197,1,YUMI_eDNA_Plate1,Gadidae,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS,120,m,0
e00197_1,e00197,1,YUMI_eDNA_Plate1,Lycodes,202121011,Prince William Sound,A,2021-09-19T00:00:00Z,Yumi_USGS,120,m,5
e00198_1,e00198,1,YUMI_eDNA_Plate1,Clupeidae,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS,120,m,0
e00198_1,e00198,1,YUMI_eDNA_Plate1,Oncorhynchus,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS,120,m,0
e00198_1,e00198,1,YUMI_eDNA_Plate1,Sebastidae,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS,120,m,5470
e00198_1,e00198,1,YUMI_eDNA_Plate1,Pleuronectidae,202121011,Prince William Sound,B,2021-09-19T00:00:00Z,Yumi_USGS,120,m,2799
